F         RC        PS
         1       1.9     0.010
         1       1.9     0.010
         1       1.9     0.010
         1       2.0     0.010
         1       2.1     0.010
         1       2.2     0.010
         1       2.2     0.010
         1       2.2     0.010
         1       2.3     0.000
         1       2.3     0.000
         1       2.3     0.000
         1       2.3     0.000
         2       2.4     0.000
         1       2.4     0.000
         2       2.5     0.000
         1       2.5     0.000
         1       2.5     0.010
         2       2.5     0.010
         1       2.5     0.010
         1       2.5     0.010
         1       2.5     0.010
         1       2.6     0.000
         1       2.6     0.010
         1       2.6     0.010
         1       2.6     0.010
         1       2.6     0.010
         1       2.7     0.000
         1       2.7     0.000
         1       2.7     0.010
         1       2.7     0.010
         1       2.7     0.010
         1       2.7     0.010
         1       2.7     0.010
         1       2.7     0.010
         1       2.7     0.010
         1       2.8     0.010
         2       2.8     0.010
         1       2.8     0.010
         2       2.8     0.010
         1       2.8     0.010
         2       2.8     0.010
         1       2.9     0.010
         2       2.9     0.010
         2       2.9     0.010
         1       2.9     0.010
         1       2.9     0.010
         1       2.9     0.010
         1       2.9     0.010
         1       2.9     0.010
         1       2.9     0.010
         2       2.9     0.010
         1       2.9     0.010
         2       2.9     0.010
         1       3.0     0.000
         1       3.0     0.010
         1       3.0     0.010
         1       3.0     0.010
         1       3.0     0.010
         1       3.0     0.010
         1       3.0     0.010
         1       3.0     0.010
         1       3.0     0.010
         1       3.0     0.020
         2       3.1     0.000
         1       3.1     0.010
         1       3.1     0.010
         1       3.1     0.010
         2       3.1     0.010
         2       3.1     0.010
         1       3.1     0.010
         1       3.1     0.010
         1       3.1     0.010
         2       3.1     0.010
         2       3.1     0.010
         2       3.1     0.010
         1       3.1     0.020
         1       3.1     0.020
         1       3.2     0.010
         1       3.2     0.010
         2       3.2     0.010
         1       3.2     0.010
         1       3.2     0.010
         1       3.2     0.010
         1       3.2     0.010
         1       3.2     0.010
         1       3.2     0.010
         1       3.2     0.010
         1       3.2     0.010
         2       3.2     0.010
         1       3.3     0.010
         1       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         2       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         1       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         1       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         2       3.3     0.010
         2       3.3     0.020
         1       3.4     0.010
         1       3.4     0.010
         1       3.4     0.010
         1       3.4     0.010
         2       3.4     0.010
         2       3.4     0.010
         2       3.4     0.010
         2       3.4     0.010
         1       3.4     0.010
         2       3.4     0.010
         1       3.4     0.010
         2       3.4     0.010
         1       3.4     0.010
         2       3.4     0.010
         2       3.4     0.010
         2       3.4     0.010
         2       3.4     0.010
         1       3.4     0.010
         1       3.4     0.010
         2       3.4     0.010
         2       3.4     0.010
         2       3.4     0.020
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         2       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         2       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         1       3.5     0.010
         2       3.5     0.010
         2       3.5     0.010
         2       3.5     0.010
