        f1         f2          x        dif         li         ls         bi         bs       dif1        li1        ls1        bi1        bs1       dif2        li2        ls2        bi2        bs2
    1.0000     2.0000     1.9000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000
    1.0000     2.0000     2.1343    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000
    1.0000     2.0000     2.3687    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000    -1.0000
    1.0000     2.0000     2.6030    -0.0002    -0.0004     0.0000    -0.0004     0.0000    -0.0002    -0.0003     0.0000    -0.0004     0.0000    -0.0001    -0.0001     0.0000    -0.0002     0.0000
    1.0000     2.0000     2.8374    -0.0002    -0.0004     0.0000    -0.0005     0.0000    -0.0002    -0.0003    -0.0001    -0.0004     0.0000    -0.0001    -0.0001     0.0000    -0.0002     0.0000
    1.0000     2.0000     3.0717    -0.0003    -0.0005    -0.0001    -0.0006     0.0000    -0.0002    -0.0004    -0.0001    -0.0004     0.0000    -0.0001    -0.0001     0.0000    -0.0002     0.0000
    1.0000     2.0000     3.3061    -0.0004    -0.0006    -0.0001    -0.0007     0.0000    -0.0002    -0.0004    -0.0001    -0.0005     0.0000    -0.0001    -0.0001     0.0000    -0.0002     0.0000
    1.0000     2.0000     3.5404    -0.0004    -0.0007    -0.0001    -0.0008     0.0000    -0.0003    -0.0004    -0.0001    -0.0005     0.0000    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     3.7747    -0.0005    -0.0008    -0.0001    -0.0009     0.0000    -0.0003    -0.0005    -0.0001    -0.0005     0.0000    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     4.0091    -0.0005    -0.0009    -0.0001    -0.0010    -0.0001    -0.0003    -0.0005    -0.0001    -0.0006    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     4.2434    -0.0006    -0.0010    -0.0002    -0.0012    -0.0001    -0.0003    -0.0005    -0.0001    -0.0006    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     4.4778    -0.0007    -0.0012    -0.0002    -0.0013    -0.0001    -0.0003    -0.0005    -0.0001    -0.0006    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     4.7121    -0.0008    -0.0013    -0.0002    -0.0015    -0.0001    -0.0004    -0.0006    -0.0001    -0.0006    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     4.9465    -0.0009    -0.0014    -0.0003    -0.0016    -0.0001    -0.0004    -0.0006    -0.0001    -0.0007    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     5.1808    -0.0010    -0.0016    -0.0003    -0.0018    -0.0002    -0.0004    -0.0006    -0.0002    -0.0007    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     5.4152    -0.0011    -0.0017    -0.0003    -0.0019    -0.0002    -0.0004    -0.0006    -0.0002    -0.0007    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     5.6495    -0.0012    -0.0018    -0.0004    -0.0021    -0.0002    -0.0004    -0.0006    -0.0002    -0.0007    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     5.8838    -0.0013    -0.0020    -0.0004    -0.0023    -0.0003    -0.0004    -0.0007    -0.0002    -0.0007    -0.0001    -0.0001    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     6.1182    -0.0014    -0.0021    -0.0005    -0.0024    -0.0003    -0.0005    -0.0007    -0.0002    -0.0008    -0.0001     0.0000    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     6.3525    -0.0015    -0.0023    -0.0005    -0.0026    -0.0003    -0.0005    -0.0007    -0.0002    -0.0008    -0.0002     0.0000    -0.0001     0.0000    -0.0001     0.0000
    1.0000     2.0000     6.5869    -0.0016    -0.0024    -0.0006    -0.0028    -0.0004    -0.0005    -0.0007    -0.0002    -0.0008    -0.0002     0.0000    -0.0001     0.0000    -0.0001     0.0001
    1.0000     2.0000     6.8212    -0.0017    -0.0026    -0.0006    -0.0030    -0.0004    -0.0005    -0.0007    -0.0002    -0.0008    -0.0002     0.0000    -0.0001     0.0000    -0.0001     0.0001
    1.0000     2.0000     7.0556    -0.0018    -0.0028    -0.0007    -0.0031    -0.0005    -0.0005    -0.0007    -0.0002    -0.0008    -0.0002     0.0000    -0.0001     0.0001    -0.0001     0.0001
    1.0000     2.0000     7.2899    -0.0019    -0.0029    -0.0007    -0.0033    -0.0005    -0.0005    -0.0007    -0.0002    -0.0008    -0.0002     0.0000    -0.0001     0.0001    -0.0001     0.0001
    1.0000     2.0000     7.5242    -0.0020    -0.0031    -0.0008    -0.0035    -0.0006    -0.0005    -0.0007    -0.0002    -0.0008    -0.0002     0.0000    -0.0001     0.0001    -0.0002     0.0001
    1.0000     2.0000     7.7586    -0.0022    -0.0033    -0.0008    -0.0037    -0.0006    -0.0005    -0.0008    -0.0002    -0.0009    -0.0002     0.0000    -0.0001     0.0001    -0.0002     0.0001
    1.0000     2.0000     7.9929    -0.0023    -0.0035    -0.0009    -0.0039    -0.0007    -0.0005    -0.0008    -0.0002    -0.0009    -0.0001     0.0000    -0.0001     0.0001    -0.0002     0.0001
    1.0000     2.0000     8.2273    -0.0024    -0.0036    -0.0009    -0.0040    -0.0007    -0.0005    -0.0008    -0.0002    -0.0009    -0.0001     0.0000    -0.0001     0.0001    -0.0002     0.0002
    1.0000     2.0000     8.4616    -0.0025    -0.0038    -0.0010    -0.0042    -0.0008    -0.0005    -0.0008    -0.0001    -0.0009    -0.0001     0.0000    -0.0001     0.0001    -0.0002     0.0002
    1.0000     2.0000     8.6960    -0.0026    -0.0039    -0.0010    -0.0044    -0.0009    -0.0005    -0.0008    -0.0001    -0.0009    -0.0001     0.0000    -0.0001     0.0002    -0.0002     0.0002
    1.0000     2.0000     8.9303    -0.0027    -0.0041    -0.0011    -0.0046    -0.0009    -0.0005    -0.0008    -0.0001    -0.0009    -0.0001     0.0000    -0.0001     0.0002    -0.0002     0.0002
    1.0000     2.0000     9.1646    -0.0029    -0.0042    -0.0011    -0.0048    -0.0010    -0.0005    -0.0009    -0.0001    -0.0010     0.0000     0.0000    -0.0001     0.0002    -0.0002     0.0002
    1.0000     2.0000     9.3990    -0.0030    -0.0044    -0.0012    -0.0049    -0.0010    -0.0005    -0.0009     0.0000    -0.0010     0.0000     0.0000    -0.0001     0.0002    -0.0002     0.0002
    1.0000     2.0000     9.6333    -0.0031    -0.0046    -0.0013    -0.0051    -0.0011    -0.0005    -0.0009     0.0000    -0.0010     0.0001     0.0000    -0.0001     0.0002    -0.0002     0.0003
    1.0000     2.0000     9.8677    -0.0032    -0.0047    -0.0013    -0.0053    -0.0011    -0.0005    -0.0009     0.0000    -0.0011     0.0001     0.0000    -0.0001     0.0002    -0.0002     0.0003
    1.0000     2.0000    10.1020    -0.0033    -0.0049    -0.0014    -0.0055    -0.0011    -0.0005    -0.0009     0.0001    -0.0011     0.0002     0.0000    -0.0001     0.0002    -0.0002     0.0003
