rt	fw	dw
10.3	0.3457	0.2004
11.4	0.5217	0.2435
20.6	3.0169	1.392
6.7	0.1171	0.0506
7	0.1117	0.058
5.1	0.0576	0.0261
11.6	0.6159	0.267
9.2	0.2084	0.1013
14.2	0.9488	0.4822
16	1.539	0.7533
18.8	2.6165	1.2566
17.2	2.1047	1.0356
16.1	1.2544	0.6987
18.6	2.1183	1.0745
6.9	0.1333	0.0513
17.6	1.9401	0.964
20	3.4902	1.5604
9.7	0.3574	0.1823
11.6	0.5103	0.2555
19.4	2.776	1.3644
17.1	1.6626	0.8444
16.7	1.8244	0.8879
11.8	0.517	0.2587
10.2	0.3853	0.1935
18.3	2.357	1.1762
17.6	2.4528	1.0241
7.3	0.1343	0.0633
8.8	0.2835	0.1303
6.3	0.0948	0.0329
14	0.8939	0.4637
15.9	1.2814	0.6838
8	0.2443	0.0969
9.8	0.294	0.127
18.3	2.5497	1.2208
5.9	0.0793	0.0315
7.3	0.1846	0.0639
6.1	0.0975	0.0408
6.5	0.0767	0.0355
14.9	1.092	0.5549
18.6	2.404	1.1082
20	3.4887	1.6408
18	2.7817	1.4141
17.1	1.9753	0.9284
12.4	0.6767	0.3513
13.9	0.9304	0.4406
12.4	0.6684	0.2948
14.5	1.4664	0.6531
10.9	0.4288	0.2145
17	2.1586	0.9498
16	1.7041	0.7941
7.2	0.1127	0.054
9.1	0.2439	0.1068
9.4	0.2488	0.1153
10.2	0.3421	0.1848
14.3	0.9186	0.4737
17.2	1.8134	0.8977
8.3	0.2014	0.0851
7.6	0.1476	0.0652
18.7	3.2822	1.2142
17	2.3374	1.0261
20.1	2.9829	1.4669
20.6	3.4683	1.7055
10.8	0.3573	0.1793
9.7	0.3079	0.1356
8.6	0.1743	0.0894
12.3	0.6131	0.2667
6	0.1109	0.0406
11.2	0.3702	0.1789
7.4	0.1551	0.0629
5.2	0.0592	0.0249
5.4	0.0804	0.0298
7.1	0.1207	0.0534
9.3	0.2849	0.1095
19.5	2.8656	1.4908
6.1	0.0964	0.0425
8.1	0.1361	0.0699
6.3	0.0866	0.0329
13.9	0.9919	0.4325
6.5	0.0886	0.0428
19.6	2.9995	1.4136
20.9	3.9994	1.5785
19.4	2.4821	1.2239
17.1	1.7523	0.8303
16.3	1.5337	0.7347
14	0.8817	0.4195
14.3	1.0697	0.4786
11.5	0.5298	0.2459
8	0.2305	0.0967
5.3	0.0534	0.0228
7.9	0.189	0.0851
8.7	0.1839	0.0874
6.2	0.0778	0.0403
17.1	1.6331	0.8639
5.5	0.0864	0.0374
7.5	0.1231	0.0625
8.8	0.3106	0.1542
8.6	0.2207	0.1145
20	2.9027	1.4394
19.5	2.2277	1.0675
23.5	4.1983	2.0787
21.6	3.0394	1.6318
19.7	2.3858	1.2095
9.6	0.335	0.1683
16.7	2.0737	0.8148
19.5	2.983	1.3853
14	1.3463	0.5718
13.8	0.9119	0.4594
9.8	0.2188	0.0979
18.4	2.5338	1.2256
18.8	2.3941	1.1924
20.5	3.1974	1.6236
13	1.2423	0.5
12.1	0.9303	0.3866
9.5	0.2366	0.1
7.7	0.1966	0.0892
11.7	0.462	0.2514
20.9	3.3969	1.7026
16.7	2.0694	0.8894
15.3	1.5592	0.6658
12.9	1.1124	0.4566
9.1	0.2166	0.1295
10.6	0.2984	0.1543
10.4	0.3397	0.1489
10.2	0.2766	0.1507
10.1	0.4542	0.188
9.9	0.2771	0.1287
9.2	0.1949	0.092
7.2	0.0881	0.0439
7.1	0.1052	0.0539
6.4	0.0883	0.0377
5.3	0.0675	0.03
7.4	0.1062	0.0535
6.1	0.0761	0.0334
8.9	0.1988	0.1095
9.2	0.167	0.0899
6.7	0.1964	0.0551
7.5	0.0911	0.0471
5.7	0.0564	0.0347
9.3	0.211	0.1061
8.9	0.1776	0.0951
8.7	0.184	0.0883
7.5	0.1047	0.0521
13.4	0.6798	0.3236
19.8	1.6178	0.9132
13.8	0.6094	0.3261
12.7	0.6835	0.326
18.4	1.4614	0.7815
11.3	0.4222	0.2122
20.9	2.8587	1.4022
18.1	1.8944	0.8571
11.4	0.3511	0.1862
14.4	0.7035	0.3427
8.7	0.204	0.0885
14.8	0.9633	0.4676
13.4	0.5308	0.2772
8.2	0.2462	0.0878
19	1.7022	0.9143
8.9	0.3224	0.1164
19.6	2.8054	1.2703
26.2	6.0908	2.91
21.6	2.7898	1.3662
19.9	2.1248	0.9588
16.1	1.3543	0.6272
13.9	0.8429	0.3939
18	1.4631	0.8426
10.9	0.33	0.1599
13.4	0.6977	0.3688
16.8	1.3545	0.7008
20.2	2.4902	1.214
21.9	3.0948	1.5809
23.8	3.56	1.7183
23.7	4.4313	2.1084
17.3	1.7289	0.7998
16.9	1.4068	0.7061
18.7	2.2444	0.9149
28.1	6.5599	3.0002
23.5	4.3365	1.9252
24.5	4.1407	2.0211
26.9	7.8582	3.2045
22.5	4.0924	2.0728
21.6	2.5942	1.4902
19.9	2.6727	1.3112
17.3	1.4323	0.7967
17.9	1.585	0.8175
17	1.1941	0.6601
20.8	2.6399	1.3452
25.1	5.5525	2.9659
27.7	6.8585	3.793
26	5.7985	2.7938
25.2	5.6973	2.9023
24.8	5.2976	2.7781
19.4	2.8728	1.2596
20.9	2.9693	1.466
22.1	3.5047	1.8015
23.2	4.3734	2.1895
25.5	5.7856	2.9835
18.3	2.0429	1.0552
23	4.837	2.3874
21.5	2.8093	1.4904
20.9	3.1605	1.6333
19.4	2.9322	1.2468
27.8	6.9387	3.7793
25.5	6.1035	3.0393
25.1	7.5337	3.62
24.8	6.3639	3.4788
25.5	6.4363	3.4921
23.6	5.1172	2.5996
24.5	5.9689	3.3648
22.2	3.5742	1.9045
23.2	3.6428	1.8873
24.5	5.1877	2.639
25.3	6.2085	2.9086
26.6	6.386	3.1759
28.7	7.7729	4.0599
14.2	0.7977	0.44
14	0.7744	0.4354
15.8	1.1111	0.6049
17.8	1.915	1.0072
14.2	1.0363	0.5246
14.6	0.9637	0.5387
16.9	1.244	0.6689
18.4	1.7014	0.9111
18	1.6163	0.8972
27	6.8953	3.8469
13.8	0.6635	0.3427
15	0.9855	0.4892
12	0.5804	0.298
10.1	0.3242	0.172
17.5	1.324	0.7411
30	8.0963	4.4821
22	2.8237	1.6363
21.4	3.6472	1.6662
26	5.0332	2.5848
25.9	6.1401	3.174
13.1	0.7199	0.3712
13.6	0.7716	0.4423
12	0.5567	0.2366
8.8	0.3056	0.1095
8	0.1847	0.0901
11.9	0.4857	0.2425
16.4	1.4315	0.7143
14.4	0.9499	0.4967
18	1.9557	1.0389
18.5	2.0417	1.0547
22.7	4.0005	2.1308
15.3	1.1214	0.6191
20.8	2.872	1.5159
21.5	2.5211	1.2797
17	2.1928	0.9292
21.6	2.3662	1.2625
17.5	2.0429	0.9858
24.3	3.9777	2.3013
18.6	1.458	0.8437
21.4	2.7647	1.5017
13.8	0.6665	0.3586
16.4	1.7666	0.7644
12.3	0.5683	0.2943
22	3.1726	1.5523
15.9	1.1724	0.6419
16.1	1.126	0.5733
21.9	2.8801	1.512
17	1.3679	0.7601
17.8	1.8396	1.0193
16	1.4138	0.7176
17	1.5802	0.7897
12.3	0.5218	0.2661
13.9	0.7326	0.3991
17.9	2.0384	1.0363
15	0.8243	0.4375
25.8	4.7456	2.7402
12.6	0.5155	0.2982
9.1	0.2296	0.1111
12.6	0.5431	0.3168
10.1	0.3375	0.1763
10	0.2417	0.1252
9.4	0.2369	0.1326
9.8	0.1649	0.0851
7.7	0.1066	0.0598
7.5	0.1193	0.0654
22	3.1145	1.5699
8.2	0.1615	0.0781
7.9	0.0718	0.0415
6.6	0.0659	0.0401
8	0.1086	0.0675
5.1	0.0422	0.0233
8.5	0.1287	0.0765
6.5	0.0548	0.0344
6	0.0444	0.0281
6.3	0.05	0.0333
14.3	0.9849	0.5421
16.5	1.2196	0.6924
5.7	0.0421	0.027
11.4	0.4571	0.2628
12.3	0.7313	0.3756
14	0.739	0.4215
18.5	1.7557	0.9149
15.1	1.3055	0.6947
16.7	1.4547	0.6962
20.6	2.3987	1.2518
9.6	0.2769	0.1499
18.5	1.5569	0.8467
16	1.2179	0.688
5.9	0.0446	0.0265
23	2.9343	1.6493
16.8	1.5333	0.7788
25.6	4.4175	2.2897
19.9	2.1061	1.1205
17.4	1.4064	0.7052
21.7	3.3254	1.7406
19.9	2.9885	1.6376
8.5	0.148	0.083
14.6	0.7907	0.4608
6.4	0.0681	0.0397
21.4	2.4279	1.4048
16.5	1.4069	0.8121
13.7	0.6865	0.3997
14.5	0.9165	0.5415
13	0.7659	0.4273
17.4	1.6295	0.9332
7.1	0.0856	0.0513
5.8	0.0555	0.0315
20.1	2.2748	1.2007
14.6	0.9634	0.4763
14.3	0.8527	0.4658
11.6	0.4902	0.235
7.6	0.1559	0.0729
13.2	0.641	0.3735
20	2.3332	1.313
7.4	0.1024	0.0572
16.5	1.3834	0.7439
17	1.4608	0.6929
9.6	0.3738	0.2277
12.8	0.528	0.2869
13	0.6924	0.3923
11.8	0.5144	0.3053
8.3	0.1535	0.0851
8.5	0.1681	0.0943
13.9	0.8826	0.5292
11.3	0.3317	0.1744
12.7	0.6503	0.3594
8.8	0.1978	0.0955
11	0.3135	0.1815
8.2	0.2282	0.1111
12.4	0.4882	0.2875
23.1	4.6123	2.5774
17.6	1.5898	0.8739
20.9	3.1367	1.6586
18.9	2.7772	1.3786
21	3.1709	1.717
22.9	2.989	1.6282
23.5	3.6028	1.9666
22.9	3.8025	2.0724
20.5	3.2842	1.5776
22.1	3.9763	2.0682
26	5.7881	3.1764
18.8	2.3153	1.1352
23.2	3.9783	1.9601
11.2	0.3518	0.1989
21.1	3.2933	1.6394
10.2	0.2809	0.1631
21.9	3.857	1.9765
20.4	3.1442	1.4685
19.1	2.4104	1.1389
10.5	0.4361	0.2098
19	2.9891	1.2807
10.9	0.5519	0.224
9.1	0.2911	0.125
10	0.3318	0.1812
18.2	2.4525	1.1801
19.9	2.7543	1.5108
21.1	3.2125	1.6854
21.9	3.9044	1.9474
16.9	1.7276	0.9184
21.7	3.7379	1.8118
15.8	1.5595	0.7572
16.9	1.8446	0.8789
19.9	2.9493	1.2336
14.6	0.8647	0.4499
17.1	1.5344	0.7903
23	4.2424	1.9198
25.3	5.2813	2.6437
21.5	4.5652	2.0482
21.6	3.7318	1.7068
18	1.8583	0.8781
6	0.0939	0.0398
9.9	0.2853	0.1333
9.7	0.2802	0.1363
8.6	0.3012	0.1247
7.2	0.12	0.0572
14.6	1.1129	0.5444
10.8	0.4445	0.2315
8.5	0.1842	0.0918
12.6	0.5846	0.3157
6.1	0.0846	0.032
11.9	0.507	0.23
9.1	0.3517	0.132
7.7	0.1624	0.0739
8.1	0.161	0.0725
24	4.6884	2.2807
19.3	2.8649	1.3517
18.2	2.1231	1.0266
21.3	4.2042	1.6235
20.2	3.5521	1.4305
19.4	3.3111	1.6107
23.1	5.5979	2.5418
9.8	0.2116	0.1007
13.2	0.5616	0.2784
13.3	0.699	0.3195
13.6	0.8325	0.3893
11	0.5003	0.2275
12.9	0.7012	0.3283
8	0.1719	0.0803
16.2	1.5321	0.7904
13.6	0.8331	0.3821
12.5	0.6	0.2953
10.9	0.3959	0.2128
14.2	0.8111	0.4055
19.3	2.5489	1.342
12.3	0.7461	0.3836
8.9	0.1854	0.0876
12	0.5612	0.2559
12.1	0.5327	0.2821
12.6	0.6316	0.2781
10.3	0.3041	0.1494
8.1	0.2516	0.0917
6.3	0.0829	0.0406
5.7	0.0575	0.0227
6	0.085	0.0325
6.3	0.0696	0.0381
7.4	0.1393	0.0711
19.6	3.0595	1.5422
17.3	1.6312	0.8746
25.2	4.8524	2.5828
21.4	3.7096	1.6866
21.3	3.375	1.8557
21.7	2.8883	1.471
21.4	3.3955	1.4792
20	3.0435	1.5158
17.5	1.2315	0.6651
8.9	0.2378	0.1122
6.6	0.1266	0.0524
5.1	0.0673	0.0253
5.6	0.0493	0.0236
6.7	0.1025	0.0481
8.2	0.1776	0.0949
20.1	3.1566	1.661
5	0.0415	0.0192
10.4	0.3838	0.1845
18.3	1.955	1.0125
20.8	3.1308	1.3172
6.2	0.0658	0.0314
23.9	3.3611	1.8124
12.9	0.6817	0.3752
12.6	0.6305	0.3234
12.5	0.6563	0.3165
15.4	1.6589	0.7126
16.5	1.6493	0.8536
22.1	4.2222	2.0079
21	2.8532	1.5532
10.5	0.39	0.1903
21.2	3.371	1.6436
17.5	1.4848	0.6932
5	0.0411	0.0178
6.7	0.0834	0.0398
12.9	0.7417	0.3477
6.3	0.0821	0.0384
25.1	4.6263	2.4576
23.2	4.4422	2.0998
12.5	0.5792	0.2754
6.9	0.1035	0.0394
6.9	0.1244	0.0566
6.3	0.0867	0.0405
17.1	1.7073	0.7858
10.6	0.5104	0.2484
13.4	0.7233	0.39
9	0.2883	0.1228
11.8	0.4802	0.2301
6.2	0.065	0.0317
16.9	1.3804	0.7337
10.4	0.3253	0.168
22.8	3.6211	1.8797
22.2	4.0567	2.0466
21.9	3.4986	1.7423
19.7	2.9251	1.4018
18.7	2.2767	1.0357
18.4	2.3737	1.2517
18.2	2.7101	1.2429
21.1	3.6612	1.6748
20	2.7171	1.3227
19	2.5457	1.2399
18.9	2.4189	1.1891
15.3	1.3164	0.6757
9.6	0.3057	0.1509
10.5	0.359	0.1734
11.9	0.5407	0.2558
12.4	0.5793	0.2728
11.4	0.5949	0.2849
9	0.3333	0.1292
11.7	0.6499	0.3137
8.3	0.2377	0.0977
10.8	0.4154	0.2053
19.1	2.4578	1.3105
10.9	0.4346	0.2242
20.4	3.0089	1.4656
18.6	2.3071	1.0433
16.2	1.6302	0.7527
20.1	2.714	1.354
9.1	0.2466	0.1083
8.7	0.2275	0.1064
10	0.316	0.1473
6.1	0.0914	0.0446
7	0.1454	0.0646
5.2	0.0554	0.0264
5.7	0.0614	0.0293
6.6	0.0921	0.0469
5	0.056	0.026
6.3	0.105	0.0446
5.4	0.0597	0.0271
16.8	1.8251	0.7973
19.9	2.959	1.4333
21.9	3.3223	1.483
21.4	3.4209	1.855
19.6	2.7202	1.3742
16.9	1.7497	0.8433
14.8	1.239	0.6433
10.8	0.5525	0.2118
12.9	0.8278	0.3872
12.5	0.6493	0.3085
15.9	1.348	0.6961
9.6	0.4009	0.1922
21.5	3.2723	1.6457
22.3	3.8007	1.7194
20.2	2.6204	1.3267
16.2	1.4799	0.7415
17.6	1.9953	0.9484
17.3	1.7829	0.8301
13.7	0.9073	0.4914
18.9	2.0964	1.1466
19.4	3.0103	1.5004
21.6	3.3654	1.6817
20.5	2.7318	1.3369
20.2	2.8692	1.3745
22.6	3.7428	1.8362
24.8	5.6418	2.6413
8.7	0.2164	0.1152
9.5	0.3751	0.1584
14.1	1.0925	0.5728
6.7	0.1468	0.0531
6.5	0.1105	0.0429
15.9	1.4968	0.8024
10.9	0.4415	0.2063
9.7	0.2797	0.1545
5.4	0.0548	0.024
10.5	0.4357	0.2201
7	0.1887	0.0782
18.6	2.7454	1.3615
18.6	2.503	1.1442
22	3.7178	1.8116
10.6	0.3479	0.1805
10.7	0.3924	0.1892
11.2	0.521	0.2428
15.7	1.4487	0.7957
12.5	0.6922	0.3416
9.2	0.3043	0.1042
10	0.2649	0.125
15	1.1037	0.5325
15.1	1.1231	0.5414
12.9	0.9821	0.4578
14.8	0.9331	0.492
12.6	0.7709	0.3629
10.8	0.4531	0.1931
13.2	0.7163	0.3299
14.1	0.8601	0.4505
12.1	0.6415	0.2938
