              f               x               p             lip             lsp             bip             bsp              p1            lip1            lsp1            bip1            bsp1              p2            lip2            lsp2            bip2            bsp2
      1.0000000       1.9000000       0.0019078       0.0018561       0.0019736       0.0018389       0.0019766       0.0028900       0.0028263       0.0029728       0.0028047       0.0029753       0.0028568       0.0028153       0.0029133       0.0028008       0.0029128
      1.0000000       2.1343434       0.0026663       0.0025985       0.0027531       0.0025760       0.0027566       0.0035955       0.0035224       0.0036916       0.0034973       0.0036938       0.0031640       0.0031240       0.0032195       0.0031087       0.0032193
      1.0000000       2.3686869       0.0035985       0.0035126       0.0037094       0.0034837       0.0037133       0.0043726       0.0042904       0.0044818       0.0042616       0.0044835       0.0034671       0.0034291       0.0035211       0.0034130       0.0035212
      1.0000000       2.6030303       0.0047212       0.0046149       0.0048591       0.0045790       0.0048634       0.0052202       0.0051286       0.0053425       0.0050970       0.0053435       0.0037666       0.0037307       0.0038183       0.0037141       0.0038191
      1.0000000       2.8373737       0.0060506       0.0059222       0.0062187       0.0058782       0.0062230       0.0061377       0.0060369       0.0062726       0.0060026       0.0062728       0.0040628       0.0040293       0.0041118       0.0040123       0.0041134
      1.0000000       3.0717172       0.0076032       0.0074507       0.0078044       0.0073979       0.0078085       0.0071242       0.0070150       0.0072715       0.0069779       0.0072705       0.0043561       0.0043253       0.0044029       0.0043077       0.0044045
      1.0000000       3.3060606       0.0093950       0.0092167       0.0096321       0.0091543       0.0096357       0.0081791       0.0080634       0.0083378       0.0080221       0.0083361       0.0046466       0.0046179       0.0046913       0.0046005       0.0046928
      1.0000000       3.5404040       0.0114419       0.0112353       0.0117177       0.0111634       0.0117205       0.0093018       0.0091804       0.0094701       0.0091349       0.0094687       0.0049346       0.0049082       0.0049769       0.0048908       0.0049785
      1.0000000       3.7747475       0.0137599       0.0135229       0.0140768       0.0134413       0.0140784       0.0104917       0.0103657       0.0106688       0.0103157       0.0106678       0.0052204       0.0051956       0.0052600       0.0051786       0.0052621
      1.0000000       4.0090909       0.0163645       0.0160957       0.0167250       0.0160040       0.0167250       0.0117484       0.0116186       0.0119331       0.0115639       0.0119328       0.0055039       0.0054789       0.0055406       0.0054641       0.0055437
      1.0000000       4.2434343       0.0192714       0.0189695       0.0196778       0.0188670       0.0196757       0.0130712       0.0129384       0.0132624       0.0128792       0.0132632       0.0057855       0.0057604       0.0058201       0.0057471       0.0058238
      1.0000000       4.4777778       0.0224959       0.0221622       0.0229503       0.0220462       0.0229456       0.0144598       0.0143244       0.0146563       0.0142610       0.0146585       0.0060651       0.0060401       0.0060979       0.0060277       0.0061026
      1.0000000       4.7121212       0.0260536       0.0256883       0.0265563       0.0255571       0.0265500       0.0159137       0.0157768       0.0161143       0.0157090       0.0161184       0.0063430       0.0063172       0.0063755       0.0063057       0.0063803
      1.0000000       4.9464646       0.0299595       0.0295629       0.0305098       0.0294152       0.0305039       0.0174325       0.0172951       0.0176359       0.0172227       0.0176423       0.0066192       0.0065922       0.0066500       0.0065812       0.0066573
      1.0000000       5.1808081       0.0342290       0.0338012       0.0348274       0.0336359       0.0348221       0.0190159       0.0188792       0.0192237       0.0188018       0.0192300       0.0068938       0.0068642       0.0069263       0.0068541       0.0069335
      1.0000000       5.4151515       0.0388771       0.0384189       0.0395239       0.0382344       0.0395197       0.0206635       0.0205265       0.0208752       0.0204457       0.0208812       0.0071669       0.0071332       0.0072019       0.0071247       0.0072092
