         f          x          y
    1.0000     1.9000     0.0100
    1.0000     1.9000     0.0100
    1.0000     1.9000     0.0100
    1.0000     2.0000     0.0100
    1.0000     2.1000     0.0100
    1.0000     2.2000     0.0100
    1.0000     2.2000     0.0100
    1.0000     2.2000     0.0100
    1.0000     2.3000     0.0000
    1.0000     2.3000     0.0000
    1.0000     2.3000     0.0000
    1.0000     2.3000     0.0000
    2.0000     2.4000     0.0000
    1.0000     2.4000     0.0000
    2.0000     2.5000     0.0000
    1.0000     2.5000     0.0000
    1.0000     2.5000     0.0100
    2.0000     2.5000     0.0100
    1.0000     2.5000     0.0100
    1.0000     2.5000     0.0100
    1.0000     2.5000     0.0100
    1.0000     2.6000     0.0000
    1.0000     2.6000     0.0100
    1.0000     2.6000     0.0100
    1.0000     2.6000     0.0100
    1.0000     2.6000     0.0100
    1.0000     2.7000     0.0000
    1.0000     2.7000     0.0000
    1.0000     2.7000     0.0100
    1.0000     2.7000     0.0100
    1.0000     2.7000     0.0100
    1.0000     2.7000     0.0100
    1.0000     2.7000     0.0100
    1.0000     2.7000     0.0100
    1.0000     2.7000     0.0100
    1.0000     2.8000     0.0100
    2.0000     2.8000     0.0100
    1.0000     2.8000     0.0100
    2.0000     2.8000     0.0100
    1.0000     2.8000     0.0100
    2.0000     2.8000     0.0100
    1.0000     2.9000     0.0100
    2.0000     2.9000     0.0100
    2.0000     2.9000     0.0100
    1.0000     2.9000     0.0100
    1.0000     2.9000     0.0100
    1.0000     2.9000     0.0100
    1.0000     2.9000     0.0100
    1.0000     2.9000     0.0100
    1.0000     2.9000     0.0100
    2.0000     2.9000     0.0100
    1.0000     2.9000     0.0100
    2.0000     2.9000     0.0100
    1.0000     3.0000     0.0000
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0100
    1.0000     3.0000     0.0200
    2.0000     3.1000     0.0000
    1.0000     3.1000     0.0100
    1.0000     3.1000     0.0100
    1.0000     3.1000     0.0100
    2.0000     3.1000     0.0100
    2.0000     3.1000     0.0100
    1.0000     3.1000     0.0100
    1.0000     3.1000     0.0100
    1.0000     3.1000     0.0100
